title,body,category
Java Video Tutorial 19,https://youtu.be/s_PfopWcMwI,Technology
Java Video Tutorial 20,https://youtu.be/3XB3in9Xqy8,Technology
Java Video Tutorial 21,https://youtu.be/3ifwR5feRQI,Technology
Java Video Tutorial 22,https://youtu.be/qVdRxODXBcU,Technology
Java Video Tutorial 23,https://youtu.be/wApG8SHBJ24,Technology
Java Video Tutorial 24,https://youtu.be/h3Xeo14Kn_8,Technology
Java Video Tutorial 25,https://youtu.be/dKnRUuYVR0Q,Technology
Java Video Tutorial 26,https://youtu.be/IMhiGyxF4as,Technology
Java Video Tutorial 27,https://youtu.be/JmiyAlvm6Ds,Technology
Java Video Tutorial 28,https://youtu.be/mgnWYBaJuUk,Technology
Java Video Tutorial 29,https://youtu.be/ya_kEknUNIE,Technology
Java Video Tutorial 30,https://youtu.be/y9SvMg5CxA4,Technology
Java Video Tutorial 31,https://youtu.be/o9F73FU2vzs,Technology
Java Video Tutorial 32,https://youtu.be/D_WDuwnaobg,Technology
Java Video Tutorial 33,https://youtu.be/X81XIVaMWCQ,Technology
Java Video Tutorial 34,https://youtu.be/Em-AhbqVe48,Technology
Java Video Tutorial 35,https://youtu.be/eiaWMJt1qhE,Technology
Sabermetrics,https://youtu.be/zy6LZ3QRDu4,Technology
Sabermetrics 2,https://youtu.be/02HlbJ18aYc,Technology
Sabermetrics 3,https://youtu.be/mIMxKY_t7J4,Technology
Java Video Tutorial 36,https://youtu.be/wFgeUC5dw_4,Technology
Java Video Tutorial 37,https://youtu.be/mSbFrQfgq7A,Technology
Java Video Tutorial 38,https://youtu.be/j-zAbYs9J7w,Technology
Java Video Tutorial 39,https://youtu.be/iZcfMa2Fagg,Technology
Java Video Tutorial 40,https://youtu.be/3s9ufjnxITk,Technology
Java Video Tutorial 41,https://youtu.be/IuIX8H_avn8,Technology
Java Video Tutorial 42,https://youtu.be/_HnJ501VK3M,Technology
Java Video Tutorial 43,https://youtu.be/wxgdTDpNM6k,Technology
Java Video Tutorial 44,https://youtu.be/q-oQ5D91TAk,Technology
Java Video Tutorial 45,https://youtu.be/MmKgTeEd8yM,Technology
Java Video Tutorial 46,https://youtu.be/HWoVxBcvy1s,Technology
Java Video Tutorial 47,https://youtu.be/ydQWhluoBXM,Technology
Java Video Tutorial 48,https://youtu.be/235mse79MCw,Technology
Java Video Tutorial 49,https://youtu.be/T6FxSiYQ7nI,Technology
Java Video Tutorial 50,https://youtu.be/4wWLEeQSXLQ,Technology
Java Video Tutorial 51,https://youtu.be/sSbcAFqpw-o,Technology
Java Video Tutorial 52,https://youtu.be/lebZd9bDnc8,Technology
Java Video Tutorial 53,https://youtu.be/fK0fxjbjdQA,Technology
Java Video Tutorial 54 Java Polygon Collision Detection,https://youtu.be/8KNwjOsdn8I,Technology
Java Video Tutorial 55,https://youtu.be/upmRIZwAHAY,Technology
Java Video Tutorial 56,https://youtu.be/UWIFtzUjDLw,Technology
Java Video Tutorial 57,https://youtu.be/S1xCzB4d9G8,Technology
Java Video Tutorial 58,https://youtu.be/MfqbEYyg3J8,Technology
Java Video Tutorial 59,https://youtu.be/ptsNLcQYxCQ,Technology
Java Video Tutorial 60,https://youtu.be/8A3ziZPZbgQ,Technology
Design Patterns Video Tutorial,https://youtu.be/vNHpsC5ng_E,Technology
Design Patterns Video Tutorial 2,https://youtu.be/yRJ1rRoMnIM,Technology
Strategy Design Pattern,https://youtu.be/-NCgRD9-C6o,Technology
Observer Design Pattern,https://youtu.be/wiQdrH2YpT4,Technology
Factory Design Pattern,https://youtu.be/ub0DXaeV6hA,Technology
Abstract Factory Design Pattern,https://youtu.be/xbjAsdAK4xQ,Technology
Singleton Design Pattern Tutorial,https://youtu.be/NZaXM67fxbs,Technology
Builder Design Pattern,https://youtu.be/9XnsOpjclUg,Technology
Prototype Design Pattern Tutorial,https://youtu.be/AFbZhRL0Uz8,Technology
Java Reflection Tutorial,https://youtu.be/agnblS47F18,Technology
Decorator Design Pattern,https://youtu.be/j40kRwSm4VE,Technology
Command Design Pattern,https://youtu.be/7Pj5kAhVBlg,Technology
Adapter Design Pattern,https://youtu.be/qG286LQM6BU,Technology
Facade Design Pattern,https://youtu.be/B1Y8fcYrz5o,Technology
Bridge Design Pattern,https://youtu.be/9jIgSsIfh_8,Technology
Template Method Design Pattern,https://youtu.be/aR1B8MlwbRI,Technology
Iterator Design Pattern,https://youtu.be/VKIzUuMdmag,Technology
Composite Design Pattern,https://youtu.be/2HUnoKyC9l0,Technology
Flyweight Design Pattern,https://youtu.be/0vV-R2926ss,Technology
State Design Pattern,https://youtu.be/MGEx35FjBuo,Technology
Proxy Design Pattern Tutorial,https://youtu.be/cHg5bWW4nUI,Technology
Chain of Responsibility Design Pattern,https://youtu.be/jDX6x8qmjbA,Technology
Interpreter Design Pattern,https://youtu.be/6CVymSJQuJE,Technology
Make Java Executable,https://youtu.be/CQEPlGFYTr8,Technology
Mediator Design Pattern,https://youtu.be/8DxIpdKd41A,Technology
Memento Design Pattern,https://youtu.be/jOnxYT8Iaoo,Technology
Visitor Design Pattern,https://youtu.be/pL4mOUDi54o,Technology
Install Eclipse for Java,https://youtu.be/svJQu6LUSTs,Technology
MVC Java Tutorial,https://youtu.be/dTVVa2gfht8,Technology
Eclipse Shortcut Keys,https://youtu.be/C5glFtpuy0U,Technology
Java Programming,https://youtu.be/WPvGqX-TXP0,Technology
Beginner PHP Tutorial - 1 - Introduction to PHP,https://youtu.be/iCUV3iv9xOs,Technology
Beginner PHP Tutorial - 2 - Installing XAMPP Part 1,https://youtu.be/k6ZiPqsBvEQ,Technology
Beginner PHP Tutorial - 3 - Installing XAMPP Part 2,https://youtu.be/F0epWxZDlOk,Technology
Beginner PHP Tutorial - 4 - Creating Your First PHP File,https://youtu.be/7NuTyB8Ypxc,Technology
Beginner PHP Tutorial - 5 - Writing Your First PHP File,https://youtu.be/saxBXBb-f8c,Technology
Beginner PHP Tutorial - 6 - The phpinfo Function,https://youtu.be/iMb-R6NSfmc,Technology
Beginner PHP Tutorial - 7 - The php.ini File,https://youtu.be/Kqxq9Et4Dpg,Technology
Beginner PHP Tutorial - 8 - Indentation,https://youtu.be/EsF2Sb3pf6w,Technology
Beginner PHP Tutorial - 9 - echo,https://youtu.be/7Dwsa7aWfN8,Technology
Beginner PHP Tutorial - 10 - print,https://youtu.be/TI6mXu42L3U,Technology
